County/City,State,Status,Link
Douglas,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Douglas
Grant,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Grant
Hennepin,MN,Working,https://www.hennepin.us/en/residents/property/property-information-search
Lake,MN,Working,https://parcelinfo.com/main.php
Kandiyohi,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Kandiyohi
Lincoln,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Lincoln
Meeker,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Meeker
Mille Lacs,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Mille%20Lacs
Pope ,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Pope
Renville,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Renville
Sibley,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Sibley
Yellow Medicine,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Yellow%20Medicine
Dover,MA,Working,https://dover.patriotproperties.com/default.asp
Acushnet,MA,Working,https://acushnet.patriotproperties.com
Agawam,MA,Working,https://agawam.patriotproperties.com
Andover,MA,Working,https://andover.patriotproperties.com
Arlington,MA,Working,https://arlington.patriotproperties.com
Ashfield,MA,Working,https://ashfield.patriotproperties.com
Auburn,ME,Working,https://auburnmaine.patriotproperties.com
Barnard,VT,Working,https://barnardvt.patriotproperties.com
Barton,VT,Working,https://bartonvt.patriotproperties.com
Bedford,MA,Working,https://bedford.patriotproperties.com
Belchertown,MA,Working,https://belchertown.patriotproperties.com
Bellingham,MA,Working,https://bellingham.patriotproperties.com
Beverly,MA,Working,https://beverly.patriotproperties.com
Billerica,MA,Working,https://billerica.patriotproperties.com
Blandford,MA,Working,https://blandford.patriotproperties.com
Braintree,MA,Working,https://braintree.patriotproperties.com
Brentwood,NH,Working,https://brentwoodnh.patriotproperties.com
Brimfield,MA,Working,https://brimfield.patriotproperties.com
Burlington,MA,Working,https://burlington.patriotproperties.com
Carlisle,MA,Working,https://carlisle.patriotproperties.com
Castleton,VT,Working,https://castletonvt.patriotproperties.com
Charlton,MA,Working,https://charlton.patriotproperties.com
Clarksburg,MA,Working,https://clarksburg.patriotproperties.com
Cohasset,MA,Working,https://cohasset.patriotproperties.com
Coventry,VT,Working,https://coventryvt.patriotproperties.com
Cummington,MA,Working,https://cummington.patriotproperties.com
Dalton,MA,Working,https://dalton.patriotproperties.com
Danvers,MA,Working,https://danvers.patriotproperties.com
Deerfield,MA,Working,https://deerfield.patriotproperties.com
Derby,VT,Working,https://derbyvt.patriotproperties.com
Douglas,MA,Working,https://douglas.patriotproperties.com
Dunstable,MA,Working,https://dunstable.patriotproperties.com
Essex,MA,Working,https://essex.patriotproperties.com
Everett,MA,Working,https://everett.patriotproperties.com
Fairhaven,MA,Working,https://fairhaven.patriotproperties.com
Fall River,MA,Working,https://fallriver.patriotproperties.com
Framingham,MA,Working,https://framingham.patriotproperties.com
Franklin,MA,Working,https://franklin.patriotproperties.com
Great Barrington,MA,Working,https://greatbarrington.patriotproperties.com
Groveland,MA,Working,https://groveland.patriotproperties.com
