County/City,State,Status,Link,lat,lon
Douglas,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Douglas,45.9340479,-95.4627651
Grant,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Grant,45.9358795,-96.0272071
Hennepin,MN,Working,https://www.hennepin.us/en/residents/property/property-information-search,45.0257232,-93.4865052
Lake,MN,Working,https://parcelinfo.com/main.php,47.6348022,-91.4394994
Kandiyohi,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Kandiyohi,45.142373,-95.0025846
Lincoln,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Lincoln,44.4020631,-96.2627763
Meeker,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Meeker,45.1183643,-94.5175345
Mille Lacs,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Mille%20Lacs,45.9311972,-93.640356
Pope ,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Pope,45.5850258,-95.4469471
Renville,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Renville,44.7242874,-94.9084771
Sibley,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Sibley,44.5603522,-94.2085682
Yellow Medicine,MN,Working,https://tax.cptmn.us/PTaxPortal/#/parcelSearch/Yellow%20Medicine,44.7198536,-95.8533555
Dover,MA,Working,https://dover.patriotproperties.com/default.asp,42.2452466,-71.2823588
Acushnet,MA,Working,https://acushnet.patriotproperties.com,41.6806593,-70.907816
Agawam,MA,Working,https://agawam.patriotproperties.com,42.0688621,-72.6151604
Andover,MA,Working,https://andover.patriotproperties.com,42.65717,-71.1408776
Arlington,MA,Working,https://arlington.patriotproperties.com,,
Ashfield,MA,Working,https://ashfield.patriotproperties.com,42.5260396,-72.7909151
Auburn,ME,Working,https://auburnmaine.patriotproperties.com,44.0979903,-70.2312137
Barnard,VT,Working,https://barnardvt.patriotproperties.com,43.7286349,-72.6188601
Barton,VT,Working,https://bartonvt.patriotproperties.com,44.7484736,-72.1806582
Bedford,MA,Working,https://bedford.patriotproperties.com,42.4917301,-71.2817947
Belchertown,MA,Working,https://belchertown.patriotproperties.com,42.2772732,-72.4007966
Bellingham,MA,Working,https://bellingham.patriotproperties.com,42.0869493,-71.4746436
Beverly,MA,Working,https://beverly.patriotproperties.com,42.5489744,-70.8781883
Billerica,MA,Working,https://billerica.patriotproperties.com,42.5584264,-71.268947
Blandford,MA,Working,https://blandford.patriotproperties.com,42.1807576,-72.9278159
Braintree,MA,Working,https://braintree.patriotproperties.com,42.2205956,-71.0041229
Brentwood,NH,Working,https://brentwoodnh.patriotproperties.com,42.9786981,-71.0728369
Brimfield,MA,Working,https://brimfield.patriotproperties.com,42.1224026,-72.2003109
Burlington,MA,Working,https://burlington.patriotproperties.com,42.5048167,-71.1956111
Carlisle,MA,Working,https://carlisle.patriotproperties.com,42.5292605,-71.3495035
Castleton,VT,Working,https://castletonvt.patriotproperties.com,43.6111275,-73.1807089
Charlton,MA,Working,https://charlton.patriotproperties.com,42.1340806,-71.9698085
Clarksburg,MA,Working,https://clarksburg.patriotproperties.com,42.726592,-73.1056814
Cohasset,MA,Working,https://cohasset.patriotproperties.com,42.2409727,-70.8035941
Coventry,VT,Working,https://coventryvt.patriotproperties.com,44.8658913,-72.2648552
Cummington,MA,Working,https://cummington.patriotproperties.com,42.4628175,-72.8964631
Dalton,MA,Working,https://dalton.patriotproperties.com,42.4741707,-73.1599696
Danvers,MA,Working,https://danvers.patriotproperties.com,42.566751,-70.9368313
Deerfield,MA,Working,https://deerfield.patriotproperties.com,42.5442595,-72.6044771
Derby,VT,Working,https://derbyvt.patriotproperties.com,44.93541675,-72.12028400505386
Douglas,MA,Working,https://douglas.patriotproperties.com,42.0535947,-71.7391596
Dunstable,MA,Working,https://dunstable.patriotproperties.com,42.674585,-71.4818992
Essex,MA,Working,https://essex.patriotproperties.com,42.6320389,-70.7828255
Everett,MA,Working,https://everett.patriotproperties.com,42.40843,-71.0536625
Fairhaven,MA,Working,https://fairhaven.patriotproperties.com,41.6376043,-70.9036487
Fall River,MA,Working,https://fallriver.patriotproperties.com,41.7010642,-71.1546367
Framingham,MA,Working,https://framingham.patriotproperties.com,42.2773177,-71.4165905
Franklin,MA,Working,https://franklin.patriotproperties.com,42.5896205,-72.6110645
Great Barrington,MA,Working,https://greatbarrington.patriotproperties.com,42.1939364,-73.362773
Groveland,MA,Working,https://groveland.patriotproperties.com,42.7598804,-71.0318212
Hamilton,MA,Working,https://hamilton.patriotproperties.com,42.6362052,-70.8431049
Hardwick,MA,Working,https://hardwick.patriotproperties.com,42.349309,-72.1992783
Hatfield,MA,Working,https://hatfield.patriotproperties.com,42.3732087,-72.596091
Haverhill,MA,Working,https://haverhill.patriotproperties.com,42.7777829,-71.0767724
Holbrook,MA,Working,https://holbrook.patriotproperties.com,42.1552232,-71.008958
Holyoke,MA,Working,https://holyoke.patriotproperties.com,42.2071184,-72.6075851
Hopedale,MA,Working,https://hopedale.patriotproperties.com,42.1300773,-71.5406222
Hopkinton,MA,Working,https://hopkinton.patriotproperties.com,42.2288875,-71.5196439
Hull,MA,Working,https://hull.patriotproperties.com,42.3020436,-70.9078243
Ipswich,MA,Working,https://ipswich.patriotproperties.com,42.679273,-70.8411583
Jamaica,VT,Working,https://jamaicavt.patriotproperties.com,43.1001334,-72.7784018
Jay,VT,Working,https://jayvt.patriotproperties.com,44.9481252,-72.4381452
Lancaster County,SC,Working,https://lancastercountysc.patriotproperties.com,34.6628067,-80.700546
Leicester,MA,Working,https://leicester.patriotproperties.com,42.2459002,-71.9081505
Littleton,MA,Working,https://littleton.patriotproperties.com,42.5375917,-71.5120096
Lynn,MA,Working,https://lynn.patriotproperties.com,42.466763,-70.9494939
Lynnfield,MA,Working,https://lynnfield.patriotproperties.com,42.5389836,-71.0481084
Malden,MA,Working,https://malden.patriotproperties.com,42.4268484,-71.0683741
Manchester-by-the-Sea,MA,Working,https://manchester.patriotproperties.com,42.577873,-70.7689354
Marblehead,MA,Working,https://marblehead.patriotproperties.com,42.500096,-70.8578253
Marshfield,MA,Working,https://marshfield.patriotproperties.com,42.091769,-70.7055941
